label,emg_ch1,emg_ch2,emg_ch3,emg_ch4,emg_ch5,emg_ch6,emg_ch7,emg_ch8
Close Hand,0.9463752025485668,0.8714947433440847,0.8895828228689259,0.8392524779401622,0.8152480669135951,0.8389988899768228,0.8749186059970191,0.8642389749190211
Close Hand,1.296585426095204,1.2213785731129614,1.270078342343685,1.352349753535644,1.3488260004237356,1.3476808408624126,1.5036988465421706,1.42871859896094
Open Hand,0.8510124730521288,0.9436324698279246,0.8532494735642333,0.9431083396406039,0.9452013140095563,1.0088992255135114,1.0800751209085628,1.0987234400125083
Close Hand,1.607141783580307,1.7022223957646956,1.6885169327848375,1.783775254642008,1.8480078672249933,1.9462230607075468,1.9688733483877967,1.9956973549130796
Open Hand,0.4588321040969507,0.43325835334752116,0.4172493380285477,0.4084130458807882,0.3922087784330564,0.4417767253678901,0.39856170952753933,0.4149816010544913
Rest,0.1395086872690607,0.07404988924364336,0.13717585229180773,0.09933021359990919,0.0,0.10682760156306131,0.11494956034778868,0.079739880719181
Close Hand,0.8016042786950103,0.8717542766160956,0.849853742230557,0.8332111658153509,0.8364563090943099,0.8290966817485781,0.9077629208736665,0.8242573002324937
Open Hand,0.4932599468967188,0.46089932716077364,0.4628468734338311,0.4975364451486743,0.4904719453914658,0.47678698876477,0.4002395428536888,0.4256512308169161
Rest,0.11272111767616365,0.2222350406046417,0.13521386572688754,0.2068582098582822,0.2352740028873587,0.11135506459674235,0.17024635419922055,0.18382770418937563
Rest,0.12206985355219943,0.05488759307064132,0.07120036829057365,0.07948649850277872,0.0945046549830962,0.08114787421098482,0.13491047188902874,0.11186642510653597
Rest,0.17809925253312217,0.09364953895022482,0.07945011947754606,0.17236779445564837,0.09819856561494601,0.15881681887955734,0.14932164951675855,0.13679611366437155
Close Hand,1.3534805176192521,1.4218404294223859,1.4560775056606152,1.4890231816820514,1.5642881350904057,1.553157880110462,1.6373850222928972,1.7021000214524398
Open Hand,0.6853852466897814,0.6924475709344439,0.7266429810174827,0.674651985305617,0.7371712478736601,0.8171961832980322,0.7797858560515071,0.7918044718828557
Rest,0.0907326027213738,0.031856415096013314,0.049671813884505325,0.08612794969189086,0.14371225208620944,0.08208483468029673,0.07544492350830849,0.07053290976796428
Rest,0.06199187359439238,0.11250545080588584,0.04872924898407137,0.06597708332247523,0.07394810832861796,0.13451438180888287,0.1589980032157135,0.05495719577684734
Close Hand,0.8991384618742504,0.8002086990533183,0.8429925516632125,0.8866040707116244,0.8489435299998951,0.8157212041584031,0.8027963520269115,0.8419500281390276
Open Hand,0.4163651280326488,0.49927155818389696,0.4930263725960395,0.47098545819266324,0.45715216905231343,0.457913780351553,0.44724424727162176,0.47242747969884247
Rest,0.14514321312502726,0.11376603817613883,0.10218476172638116,0.16806219704788167,0.1934567928000673,0.10606439948633435,0.24821401031592538,0.13248699886919468
Open Hand,0.8755016189749966,0.9239137964168647,0.9482414735553958,0.9538958013826557,1.04643403042002,1.0750450487964798,1.0778159490928017,1.094789609375933
Rest,0.12457260051913806,0.0480972533933392,0.06407275226976523,0.039993875419348936,0.07649217024317605,0.006130231765694709,0.05396101397102489,0.08282485087887793
Rest,0.1623503435210492,0.1792735791801558,0.20597177263006403,0.1649761951359714,0.19252547137860274,0.09572910068984994,0.25611648620207095,0.16044436939932707
Open Hand,0.4724753533304742,0.4656074921918459,0.44640949188269974,0.5074756592175642,0.46089805951925816,0.4653185655067587,0.4865572162917699,0.46269075498938095
Open Hand,0.8760173422112346,0.8331409812042282,0.9539942804316316,0.9481981915150798,1.0319266842509893,1.0043008115954433,1.0844538687011551,1.1077309579281702
Close Hand,1.667080409009856,1.6742115820329901,1.777528443448889,1.7806792007313934,1.8354801196627297,2.0,1.9679430264060818,2.0
Rest,0.15220643431447062,0.17969771066431928,0.23023133700905546,0.2299473336142034,0.17049900005544089,0.19517849210985452,0.25545685154667835,0.20741782518077378
Rest,0.11251861563270424,0.11664935578129379,0.03196405226697974,0.08998646355237681,0.0,0.024057924168502692,0.011615914995422957,0.07884245030836584
Close Hand,0.8304669550065299,0.8844838868240821,0.8859154698270274,0.7923587631282968,0.8213640668734923,0.8337598464580313,0.8709681131157838,0.890007645597698
Rest,0.1755353923737067,0.1709898636841505,0.15311843806729777,0.06823986505642418,0.08446849646962933,0.09752689824096239,0.14168632504110523,0.21893681789949676
Close Hand,0.8459023168621498,0.8725254882801594,0.9323309864059336,0.8641419546842033,0.8232175784394192,0.8280350989042456,0.8500230372878051,0.8278486874158676
Open Hand,0.538224804225529,0.48099899787784567,0.4956515546431167,0.4778335054225816,0.51485027412285,0.42245493057846106,0.36037419150194827,0.4343856037076491
Open Hand,0.7370468816719185,0.7899717827489023,0.8120161448937253,0.8107603891822385,0.8972420175442031,0.9757557790128103,0.9680989697716543,1.0135368845357144
Rest,0.1661113586935978,0.12137630047955178,0.1587925004466052,0.12111097345719815,0.10588218858201763,0.2010938918695996,0.18122781365684673,0.17623992596423493
Close Hand,0.8365612240922098,0.8102770988169031,0.8217805126654256,0.8415637595108205,0.8731772498727105,0.8940642123450235,0.8025383476942882,0.8290929245124505
Close Hand,1.5813114939750799,1.7066671292590354,1.7167770414892183,1.8076560114624258,1.7785822988281728,1.8397359251464493,2.0,2.0
Open Hand,0.6848791558866119,0.7339444959529141,0.6841283233616755,0.704657770741205,0.670304418563601,0.757672865846258,0.7440883071111211,0.7806490700292693
Close Hand,0.8861204584187797,0.7420978082930095,0.8431749154578367,0.8885757973971838,0.882357859390993,0.8073096831665043,0.8397197286046244,0.7612272073179598
Open Hand,0.7745637464889754,0.7801336387787633,0.8838021411695577,0.8700399813277829,0.9068751159640434,0.9082710579888577,0.9284121592034495,0.9600932060861589
Close Hand,1.3581001059131883,1.4727889533577363,1.520348671017629,1.5648789752030772,1.6488412202135498,1.7075330939217437,1.6730303824271104,1.7496932443350264
Close Hand,0.8908298497286385,0.838414118661108,0.8920884648676766,0.8022601019908033,0.801406549465355,0.8075169409868075,0.8503224092421231,0.8920832340802214
Open Hand,0.43654074614937294,0.4731482366462098,0.4275460047726004,0.4580948707960178,0.4395231732286897,0.47352400102837533,0.4666294823571803,0.42578232063388866
Close Hand,0.8625598037733339,0.7887109448480041,0.8107180870236605,0.7621174897233501,0.9105455863101818,0.9034585110204512,0.8637486484175219,0.8547290286079472
Open Hand,0.4336981142299673,0.5331112292509251,0.38917998917020036,0.45712716125484304,0.4105216441773016,0.43273095308660625,0.45494968156691906,0.36861200187939996
Open Hand,0.48485785396877906,0.42883904843371606,0.3855165438289265,0.38291908863686264,0.4059205426652853,0.4040391298630022,0.4445886234483032,0.40838919462408385
